lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
hun,1,szem,sɛm,validate
hun,2,fül,fyl,validate
hun,3,orr,orː,validate
hun,4,száj,saːj,validate
hun,5,fog,foɡ,validate
hun,6,nyelv,ɲɛlv,validate
hun,7,ajak,ɒjɒk,validate
hun,8,orca,ort͡sɒ,validate
hun,9,arc,ɒrt͡s,validate
hun,10,homlok,homlok,validate
hun,11,haj,hɒj,validate
hun,12,bajusz,bɒjus,validate
hun,13,szakáll,sɒkaːlː,validate
hun,14,áll,aːlː,validate
hun,15,állkapocs,aːlːkɒpot͡ʃ,validate
hun,16,gége,ɡeːɡɛ,validate
hun,16,torok,torok,validate
hun,17,nyak,ɲɒk,validate
hun,18,tarkó,tɒrkoː,validate
hun,19,fő,føː,validate
hun,19,fej,fɛj,validate
hun,20,hát,haːt,validate
hun,21,has,hɒʃ,validate
hun,22,köldök,køldøk,validate
hun,23,mell,mɛlː,validate
hun,23,kebel,kɛbɛl,validate
hun,24,mell,mɛlː,validate
hun,25,váll,vaːlː,validate
hun,26,kar,kɒr,validate
hun,27,könyök,køɲøk,validate
hun,28,kéz,keːz,validate
hun,29,tenyér,tɛɲeːr,validate
hun,30,ujj,ujː,validate
hun,31,köröm,kørøm,validate
hun,32,köröm,kørøm,validate
hun,33,lábujj,laːbujː,validate
hun,34,láb,laːb,validate
hun,35,sarok,ʃɒrok,validate
hun,36,térd,teːrd,validate
hun,37,comb,t͡somb,validate
hun,38,láb,laːb,validate
hun,38,lábszár,laːbsaːr,validate
hun,39,test,tɛʃt,validate
hun,40,bőr,bøːr,validate
hun,41,vér,veːr,validate
hun,42,ér,eːr,validate
hun,43,ín,iːn,validate
hun,44,csont,t͡ʃont,validate
hun,45,agy,ɒɟ,validate
hun,45,agyvelő,ɒɟvɛløː,validate
hun,46,szív,siːv,validate
hun,47,gyomor,ɟomor,validate
hun,48,máj,maːj,validate
hun,49,lehelet,lɛhɛlɛt,validate
hun,49,lélegzet,leːlɛɡzɛt,validate
hun,50,éhség,eːhʃeːɡ,validate
hun,51,könny,køɲː,validate
hun,52,íz,iːz,validate
hun,53,szag,sɒɡ,validate
hun,54,álom,aːlom,validate
hun,54,alvás,ɒlvaːʃ,validate
hun,55,álom,aːlom,validate
hun,56,ég,eːɡ,validate
hun,56,menny,mɛɲː,validate
hun,57,nap,nɒp,validate
hun,58,hold,hold,validate
hun,59,csillag,t͡ʃilːɒɡ,validate
hun,60,levegő,lɛvɛɡøː,validate
hun,61,szél,seːl,validate
hun,62,hullám,hulːaːm,validate
hun,63,víz,viːz,validate
hun,64,kő,køː,validate
hun,65,föld,føld,validate
hun,65,talaj,tɒlɒj,validate
hun,66,föld,føld,validate
hun,67,por,por,validate
hun,68,füst,fyʃt,validate
hun,69,szikra,sikrɒ,validate
hun,70,tűz,tyːz,validate
hun,71,fény,feːɲ,validate
hun,72,árnyék,aːrɲeːk,validate
hun,73,idő,idøː,validate
hun,73,időjárás,idøːjaːraːʃ,validate
hun,74,köd,kød,validate
hun,75,felhő,fɛlhøː,validate
hun,76,eső,ɛʃøː,validate
hun,77,hó,hoː,validate
hun,78,jég,jeːɡ,validate
hun,79,fagy,fɒɟ,validate
hun,80,hideg,hidɛɡ,validate
hun,81,hő,høː,validate
hun,81,hőség,høːʃeːɡ,validate
hun,82,zúzmara,zuːzmɒrɒ,validate
hun,83,szivárvány,sivaːrvaːɲ,validate
hun,84,dörgés,dørɡeːʃ,validate
hun,84,mennydörgés,mɛɲːdørɡeːʃ,validate
