ID,Description,Entry_ID
eineInterjektion-1,eine Interjektion,1-a
eineInterjektion-2,〈eine Interjektion〉,2-a
eineInterjektion-3,〈eine Interjektion〉 ,3296-hah
eineInterjektion-4,eine Interjektion ,3297-hahaha
eineInterjektion-5,eine Interjektion ,3298-haho
eineInterjektion-6,〈eine Interjektion〉,3302-haj
eineInterjektion-7,〈eine Interjektion〉 ,3336-haliho
eineInterjektion-8,〈eine Interjektion〉 ,3353-hamm
Flausch-1,Flausch,3-aba
Flausch-2,  Flausch,10043-zeke
Fries-1, Fries,3-aba
Fries-2, Fries,1718-daroc
Flanell-1,  Flanell,3-aba
Flanell-2,Flanell,2614-flanell
BesatzamRock-1,  Besatz am Rock,3-aba
gemischt-1,gemischt,4-abajdoc
gemischt-2,gemischt,2082-egyveleg
Mischkorn-1,  Mischkorn,4-abajdoc
Mischkorn-2,  Mischkorn,2861-gabona
schmutzigesGetreide-1,  schmutziges Getreide,4-abajdoc
Fra-1,  Fraß,4-abajdoc
Fra-2,  Fraß,4227-kagyma
Fra-3, Fraß,5667-locspocs
Gekoch-1, Gekoch,4-abajdoc
Gekoch-2, Gekoch,2715-fo
Gekoch-3, Gekoch,2995-gezemice
Gekoch-4, Gekoch,4227-kagyma
Gekoch-5,  Gekoch,8722-szerdek
beunruhigen-1,beunruhigen,5-abajgat
beunruhigen-2,  beunruhigen ,67-aggik
beunruhigen-3,  beunruhigen,173-alarmiroz
beunruhigen-4, beunruhigen,2791-ful
beunruhigen-5, beunruhigen,3270-haborgat
beunruhigen-6, beunruhigen,3271-haborit
beunruhigen-7, beunruhigen,3271-haborit
beunruhigen-8, beunruhigen,8869-szorgol
beunruhigen-9, beunruhigen,10039-zavar
belastigen-1, belästigen,5-abajgat
belastigen-2,belästigen,784-bodit
belastigen-3, belästigen,3264-habar
belastigen-4, belästigen,3270-haborgat
belastigen-5, belästigen,3271-haborit
belastigen-6, belästigen,3271-haborit
belastigen-7,belästigen,3511-hercehurcal
belastigen-8,  belästigen,4273-kalapal
belastigen-9,  belästigen,4606-kerget
belastigen-10, belästigen,6434-noszogat
belastigen-11,  belästigen,6459-nyaggat
belastigen-12,  belästigen,6569-ol
belastigen-13,  belästigen,9119-teher
belastigen-14,  belästigen,9587-un
belastigen-15, belästigen,9794-vegzal
belastigen-16, belästigen,10023-zakatol
belastigen-17,belästigen,10024-zaklat
hetzen-1,  hetzen,5-abajgat
hetzen-2, hetzen ,3316-hajkurasz
hetzen-3, hetzen,3517-hergel
hetzen-4, hetzen,4000-izgat
jagen-1, jagen,5-abajgat
jagen-2,jagen,3314-hajhasz
jagen-3, jagen,3316-hajkurasz
jagen-4,  jagen,4595-kereskedik
schreien-1,  schreien,5-abajgat
schreien-2,schreien,6-abajog
schreien-3, schreien,903-bog
schreien-4,  schreien,1516-csikorog
schreien-5,   schreien,1934-dorog
schreien-6,  schreien,3754-hurrog
schreien-7,schreien,4236-kajdacsol
schreien-8,schreien,4237-kajdasz
schreien-9,schreien,4654-kialt
schreien-10,  schreien,4654-kialt
schreien-11,  schreien,5043-kondit
schreien-12, schreien,5344-kurjongat
schreien-13,  schreien,5344-kurjongat
schreien-14,schreien,6493-nyerit
schreien-15, schreien,6711-ordit
schreien-16, schreien,7820-riaszkodik
schreien-17,schreien,7837-rikit
schreien-18,schreien,7865-rivall
schreien-19,schreien,8180-sikolt
schreien-20, schreien,8206-sir
schreien-21,schreien,9905-vijjog
schreien-22,schreien,9940-visong
prugeln-1,  prügeln,5-abajgat
prugeln-2,  prügeln,18-abriktol
prugeln-3,prügeln,76-agyabugyal
prugeln-4,prügeln,109-agyabugyal
prugeln-5,  prügeln,678-bermal
prugeln-6,  prügeln,888-bot
prugeln-7,  prügeln,1117-bermal
prugeln-8,prügeln,1923-dogonyoz
prugeln-9, prügeln,1928-dongol
prugeln-10,  prügeln,1933-dorockol
prugeln-11, prügeln,2071-egyez
prugeln-12, prügeln,4273-kalapal
prugeln-13,  prügeln,4712-ken
prugeln-14, prügeln,5042-kongat
prugeln-15, prügeln,5177-kotor
prugeln-16,  prügeln,5198-kozsok
prugeln-17,prügeln,5675-lohol
prugeln-18, prügeln,6255-mos
prugeln-19,prügeln,6360-naspal
prugeln-20,  prügeln,6382-negy
prugeln-21,  prügeln,6536-nyujt
prugeln-22, prügeln,6803-pall
prugeln-23, prügeln,6876-pahog
prugeln-24, prügeln,6992-patel
prugeln-25, prügeln,7262-plagal
prugeln-26,  prügeln,7529-puhatol
prugeln-27,prügeln,7581-pufol
prugeln-28,  prügeln,7628-rak
prugeln-29, prügeln,7648-rant
prugeln-30, prügeln,7873-ro
prugeln-31,  prügeln,7919-rongal
prugeln-32,  prügeln,7921-rop
prugeln-33,  prügeln,8048-seper
prugeln-34, prügeln,8115-salapal
prugeln-35, prügeln,8440-supral
prugeln-36, prügeln,8488-szab
prugeln-37,prügeln,9020-tangal
prugeln-38, prügeln,9742-vanyol
prugeln-39,prügeln,9824-ver
plaudern-1,  plaudern,6-abajog
plaudern-2, plaudern,1331-csacsog
plaudern-3,  plaudern,1480-cseveg
plaudern-4, plaudern,1559-csiripel
plaudern-5,  plaudern,4134-kaszino
plaudern-6,plaudern,4450-karattyol
plaudern-7,  plaudern,4526-kaszino
plaudern-8, plaudern,4641-ketyeg
plaudern-9,  plaudern,5354-kuruttyol
plaudern-10, plaudern,9424-trafikal
plaudern-11, plaudern,9444-trecsel
klagen-1,  klagen,6-abajog
klagen-2,klagen,4406-kapolodik
klagen-3, klagen,4594-keres
klagen-4, klagen,6825-panasz
klagen-5,  klagen,7731-remel
klagen-6,  klagen,7865-rivall
abbruhen-1,abbrühen,7-abal
abkochen-1, abkochen,7-abal
niedermitihm-1,nieder mit ihm,8-abcug
niedermitihm-2,  nieder mit ihm,5508-le
verfertigen-1,verfertigen,9-abdal
verfertigen-2, verfertigen,1534-csinal
behauen-1,  behauen,9-abdal
flicken-1,  flicken,9-abdal
flicken-2,flicken,2658-foldoz
