ID,Description,Entry_ID
flicken-3, flicken,2659-fold
flicken-4, flicken,7717-regget
flicken-5,  flicken,9760-varr
schlechtnahen-1, schlecht nähen,9-abdal
Alphabet-1,Alphabet,10-abece
alphabetischeOrdnung-1, alphabetische Ordnung,10-abece
Elementartkentnisse-1,  Elementartkentnisse,10-abece
Abessinier-1,Abessinier,11-abesszin
abessinisch-1,  abessinisch,11-abesszin
Abessziniabanlako-1, Abesszíniában lakó,11-abesszin
sotetboruneptagja-1, sötét bőrű nép tagja,11-abesszin
Abesszinia-1, Abesszínia,11-abesszin
Fenster-1,Fenster,12-ablak
Fenster-2, Fenster,142-akna
Fenster-3, Fenster-,7636-rama
Fenster-4,  Fenster-,9285-tok
Fenster-5,  Fenster-,9535-tugy
Rauchloch-1,  Rauchloch,12-ablak
ArtSchutzdachuberHeuschobern-1,Art Schutzdach über Heuschobern ,13-abora
RationdesDienstvolks-1,Ration des Dienstvolks,14-abrak
Nahrung-1,  Nahrung,14-abrak
Nahrung-2, Nahrung,2106-el
Nahrung-3, Nahrung,2111-eledel
Nahrung-4, Nahrung,2120-elelem
Nahrung-5, Nahrung,2126-eleseg
Pferdefutter-1,  Pferdefutter,14-abrak
Pferdefutter-2,  Pferdefutter,10008-zab
Abrakadabra-1,Abrakadabra,15-abrakadabra
Amulett-1,  Amulett,15-abrakadabra
Amulett-2,Amulett ,255-amulett
Amulett-3,  Amulett,8645-szekszemonca
dahintraumen-1,dahinträumen,16-abrandozik
irren-1,  irren,16-abrandozik
irren-2,  irren,3560-hibban
irren-3,  irren,9863-vet
herumgaffen-1, herumgaffen,16-abrandozik
herumgaffen-2, herumgaffen,5313-kuncsorog
herumgaffen-3, herumgaffen,5314-kuncsog
Bild-1,Bild,17-abraz
Bild-2,Bild,447-abraz
Bild-3,  Bild,4734-kep
Bild-4,  Bild,4734-kep
Bild-5,  Bild,7045-pelda
Bild-6, Bild-,7636-rama
Bild-7,  Bild,8667-szemely
Bild-8,  Bild,8792-szin
Bild-9,Bild,8959-tablo
Gestalt-1, Gestalt,17-abraz
Gestalt-2,  Gestalt,165-alak
Gestalt-3,  Gestalt,210-allat
Gestalt-4, Gestalt,447-abraz
Gestalt-5,Gestalt,2542-figura
Gestalt-6,Gestalt,2691-forma
Gestalt-7,Gestalt,4579-keplet
Gestalt-8, Gestalt,4734-kep
Gestalt-9, Gestalt,8667-szemely
Gestalt-10,Gestalt,9196-termet
Gestalt-11,  Gestalt,9987-vonal
unterrichten-1,unterrichten,18-abriktol
unterrichten-2, unterrichten,9017-tanacs
reif-1,reif,19-abroncs
Kreis-1,  Kreis,19-abroncs
Kreis-2,  Kreis,1276-cirkalom
Kreis-3,Kreis,4469-karika
Kreis-4,  Kreis,4589-kerek
Kreis-5, Kreis,4613-kerul
Kreis-6,Kreis,4824-kor
Kreis-7,  Kreis,4824-kor
Kreis-8,Kreis,5206-kog
Kreis-9,  Kreis,7081-perec
Ring-1, Ring,19-abroncs
Ring-2,Ring,3258-gyuru
Ring-3, Ring,4469-karika
Ring-4,  Ring,5206-kog
Ring-5, Ring,7081-perec
ReifenamSaumedesFrauenkleides-1,  Reifen am Saume des Frauenkleides,19-abroncs
Tischtuch-1,Tischtuch,20-abrosz
Tischtuch-2,Tischtuch,5931-mappa
Landkarte-1,  Landkarte,20-abrosz
Landkarte-2,  Landkarte,4113-kartya
Landkarte-3,  Landkarte,4505-kartya
Landkarte-4,  Landkarte,5931-mappa
Landkarte-5,  Landkarte,9194-terkep
Decke-1,  Decke,20-abrosz
Decke-2,  Decke,674-berhe
Decke-3,  Decke,1113-berhe
Decke-4,   Decke,1466-cserge
Decke-5, Decke,1718-daroc
Decke-6,  Decke,2430-fedel
Decke-7,Decke,5507-lazsnak
Decke-8,Decke,5571-lep
Decke-9,  Decke,5579-lepedo
Decke-10, Decke,7317-pokroc
Decke-11,  Decke,8979-takar
Decke-12, Decke,9189-terit
Decke-13,  Decke,9189-terit
Bettlaken-1, Bettlaken,20-abrosz
Bettlaken-2,  Bettlaken,3157-gunya
Absinth-1,Absinth,21-abszint
befreit-1,befreit,22-abszolut
befreit-2, befreit,8492-szabados
freigesprochen-1, freigesprochen,22-abszolut
absolut-1,  absolut,22-abszolut
absolut-2,  absolut,235-altal
absolut-3, absolut,9142-teljes
imKlabriasspieldasGewinnenderabsolutenMehrheitderStiche-1,  〈im Klabriasspiel〉 das Gewinnen der absoluten Mehrheit der Stiche,22-abszolut
Absolutismus-1,Absolutismus,23-abszolutizmus
Beschaftigung-1,Beschäftigung,24-absztrakcio
Beschaftigung-2,  Beschäftigung,2643-foglal
Beschaftigung-3, Beschäftigung,3613-hivatal
Beschaftigung-4,  Beschäftigung,4595-kereskedik
Beschaftigung-5,  Beschäftigung,9666-uzelem
Abstraktum-1,  Abstraktum,24-absztrakcio
Abstraktion-1,  Abstraktion,24-absztrakcio
abstrakt-1,abstrakt,25-absztrakt
abstrakt-2,abstrakt,2166-elvont
abstrakt-3, abstrakt,3804-idomos
sinnlos-1,sinnlos,26-abszurd
unmoglich-1, unmöglich,26-abszurd
unmoglich-2,  unmöglich,9677-vad
Stahl-1,Stahl,27-acel
Stahl-2, Stahl〉,1179-cementiroz
Stahl-3, Stahl〉,1184-cementiroz
Achat-1,Achat,28-achat
hart-1,hart,29-acintos
hart-2,  hart,4706-kemeny
hart-3,  hart,4706-kemeny
hart-4,  hart,5004-komor
hart-5,  hart,6137-merev
hart-6, hart,8775-szilard
hart-7,  hart,8826-szivos
hart-8,  hart,10059-zok
gestahlt-1,  gestählt,29-acintos
stahlern-1, stählern,29-acintos
Zimmermann-1,Zimmermann,30-acs
Libelle-1,Libelle,31-acsa
Libelle-2,  Libelle,8920-szunyog
Zahnefletschen-1,Zähne fletschen,32-acsarkodik
anfeinden-1,  anfeinden,32-acsarkodik
anfeinden-2,  anfeinden,2487-fenekedik
anfeinden-3,anfeinden,3546-hetvenkedik
intrigieren-1, intrigieren,32-acsarkodik
intrigieren-2,intrigieren,370-askal
intrigieren-3,  intrigieren,3920-intrikal
zumZigeunermusikantenstill-1,〈zum Zigeunermusikanten:〉 still!,33-acsi
horauf-1, hör auf!,33-acsi
hagydabbamegallj-1, hagyd abba! megállj!,33-acsi
marad-1, marad,33-acsi
idozik-1, időzik,33-acsi
lakik-1, lakik,33-acsi
van-1, van,33-acsi
gierigwunschen-1,gierig wünschen,34-acsingozik
gierigwunschen-2,  gierig wünschen,35-acsorog
gierigwunschen-3, gierig wünschen,2040-eger
gierigwunschen-4,  gierig wünschen,3873-incselkedik
gaffen-1,  gaffen,34-acsingozik
gaffen-2,  gaffen,35-acsorog
gaffen-3,  gaffen,250-amolyog
grinsen-1,grinsen,35-acsorog
grinsen-2,grinsen,9886-vicsog
grinsen-3, grinsen,9887-viccsan
grinsen-4,  grinsen,9888-vicsorodik
grinsen-5,  grinsen,9901-vigyorog
untatigherumstehen-1,  untätig herumstehen,35-acsorog
untatigherumstehen-2,untätig herumstehen,9627-ucsorog
zukommenlassen-1,zukommen lassen,36-ad
zukommenlassen-2,  zukommen lassen,3833-iktat
zukommenlassen-3, zukommen lassen,8099-sajnal
schenken-1, schenken,36-ad
geben-1,  geben,36-ad
geben-2, geben,4068-jog
liefern-1, liefern,36-ad
liefern-2, liefern,3862-importal
lassen-1,  lassen,36-ad
lassen-2,  lassen,778-bocsat
lassen-3,  lassen,1365-csap
lassen-4,  lassen,2194-enged
lassen-5, lassen〉,4462-kardaleszaba
verkaufen-1,  verkaufen,36-ad
verkaufen-2,  verkaufen,361-aru
verkaufen-3,   verkaufen,2154-elpasszol
verkaufen-4,  verkaufen,3290-hagy
verkaufen-5,  verkaufen,6128-mer
veroffentlichen-1,  veröffentlichen,36-ad
veroffentlichen-2,  veröffentlichen,4869-kozol
veroffentlichen-3, veröffentlichen,7512-publikal
Geben-1,  Geben,36-ad
Beleg-1,  Beleg,36-ad
Angabe-1, Angabe,36-ad
Angabe-2,  Angabe,1724-datum
Gesetzgeber-1,  Gesetzgeber,36-ad
Herausgeber-1,  Herausgeber,36-ad
alsTeileinesSchimpfw-1,  〈als Teil eines Schimpfw〉,36-ad
Tradition-1,  Tradition,36-ad
Tradition-2,  Tradition,3290-hagy
Beitrag-1,  Beitrag ,36-ad
Adamsapfel-1,Adamsapfel,37-adamcsutka
Adamsapfel-2,  Adamsapfel,1844-dio
Adamsapfel-3,  Adamsapfel,2968-gercsa
Adamsapfel-4,  Adamsapfel,3166-gusa
Adamskostum-1,Adamskostüm ,38-adamkosztum
wuten-1,wüten,39-adazik
wuten-2, wüten,1973-dul
wuten-3,wüten,2487-fenekedik
wuten-4,wüten,3122-grasszal
wuten-5,wüten,7571-pusztit
wuten-6,  wüten,9276-tobzodik
wutendmachen-1,  wütend machen,39-adazik
sichsehnen-1,  sich sehnen,39-adazik
sichsehnen-2,  sich sehnen,94-ajul
sichsehnen-3,  sich sehnen,128-ajul
sichsehnen-4,  sich sehnen,2037-eg
sichsehnen-5,  sich sehnen,2253-esd
sichsehnen-6,  sich sehnen,2256-esekedik
sichsehnen-7, sich sehnen,8277-sohajt
sichsehnen-8,  sich sehnen,8309-sovarog
herumirren-1,  herumirren,39-adazik
herumirren-2, herumirren,250-amolyog
herumirren-3,  herumirren,556-barangol
herumirren-4,herumirren,812-boklal
herumirren-5,  herumirren,836-bolyong
herumirren-6,  herumirren,1398-csavarog
herumirren-7,herumirren,4926-kodorog
herumirren-8, herumirren,5191-kovalyog
herumirren-9, herumirren,7803-revedezik
Adjunkt-1,Adjunkt,40-adjunktus
OberassistentakademischerodartzlicherRang-1,  Oberassistent 〈akademischer od ärtzlicher Rang〉,40-adjunktus
herrichten-1,herrichten,41-adjusztal
ausrusten-1, ausrüsten,41-adjusztal
ausrusten-2,  ausrüsten,4623-kesz
ausrusten-3, ausrüsten,8365-stafiroz
richtigstellen-1,  richtigstellen,41-adjusztal
richtigstellen-2, richtigstellen,5144-korrigal
gefugigmachen-1,  gefügig machen,41-adjusztal
Adjutant-1,Adjutant,42-adjutans
Adjutant-2,Adjutant,4747-kihaja
Verwalter-1,Verwalter,43-adminisztrator
Verwalter-2,  Verwalter,1884-dolog
Verwalter-3,  Verwalter,2670-fonagy
Verwalter-4, Verwalter,2844-furmender
Verwalter-5,  Verwalter,2933-gazda
Verwalter-6,  Verwalter,5295-kulcsar
Verwalter-7,  Verwalter,8088-safar
Ablieferer-1,  Ablieferer,43-adminisztrator
Sachbearbeiter-1,  Sachbearbeiter ,43-adminisztrator
Admiral-1,Admiral,44-admiralis
Steuer-1,Steuer,45-ado
Steuer-2,Steuer,5127-kormany
Steuer-3,  Steuer,7359-porcio
Steuer-4,  Steuer,8142-sarcol
Steuer-5,  Steuer,8366-stajer
Abgabe-1, Abgabe,45-ado
Abgabe-2, Abgabe,7359-porcio
Schuldner-1,  Schuldner,45-ado
Schuldner-2,  Schuldner,3604-hitel
Anekdote-1,Anekdote,46-adoma
Anekdote-2,Anekdote,261-anekdota
adoptieren-1,adoptieren,47-adoptal
adoptieren-2,  adoptieren,2635-fogad
annehmen-1,  annehmen,47-adoptal
annehmen-2, annehmen,135-akceptal
annehmen-3,  annehmen,2635-fogad
genehmigen-1, genehmigen,47-adoptal
genehmigen-2,  genehmigen,3290-hagy
adressieren-1,adressieren,48-adressziroz
Trumpf-1,Trumpf,49-adu
FastenvoreinemFest-1,Fasten vor einem Fest,50-advent
Advent-1,  Advent,50-advent
heucheln-1,heucheln,51-affektal
heucheln-2, heucheln,3457-hazudik
heucheln-3,  heucheln,8793-szin
heucheln-4,heucheln,9224-tettet
nachahmen-1, nachahmen,51-affektal
nachahmen-2, nachahmen,5088-kopiroz
nachahmen-3, nachahmen,5847-masol
nachahmen-4, nachahmen,8790-szimulal
sichanetwergotzen-1,  sich an etw ergötzen,51-affektal
affektieren-1,  affektieren ,51-affektal
Affare-1,Affäre,52-affer
Ehrenaffare-1,  Ehrenaffäre,52-affer
Duell-1, Duell ,52-affer
Duell-2,Duell,1965-duellum
Duell-3,  Duell,3740-huncut
Stechapfel-1,Stechapfel,53-afium
Stechapfel-2,  Stechapfel,5854-maszlag
Opium-1, Opium,53-afium
Heidelbeerestrauch-1,Heidelbeerestrauch,54-afonya
Heidelbeere-1,  Heidelbeere,54-afonya
Heidelbeere-2,  Heidelbeere,1463-cseresznye
Heidelbeere-3,Heidelbeere,4941-kokojsza
SeegrasalsPolstermittel-1,Seegras als Polstermittel ,55-afrik
Fluarm-1,Flußarm,56-ag
Fluarm-2,Flußarm,3347-halvany
Ast-1,  Ast,56-ag
Ast-2, Ast,792-bog
Ast-3, Ast,2533-fiatal
Sippe-1,  Sippe,56-ag
Sippe-2,  Sippe,62-agbog
Sippe-3,  Sippe,3282-had
Sippe-4, Sippe,6393-nem
Sippe-5, Sippe,6404-nemz
Sippe-6, Sippe,6521-nyom
Sippe-7, Sippe,9412-torzsok
Parentel-1, Parentel,56-ag
herausragenderTeilvonetw-1,  herausragender Teil von etw,56-ag
Arm-1, Arm,56-ag
Arm-2,Arm,4431-kar
TeileinerBegriffsklasse-1,  Teil einer Begriffsklasse,56-ag
abzweigen-1,  abzweigen ,56-ag
AgaehemaligerturkischerOffiziersrang-1,Aga 〈ehemaliger türkischer Offiziersrang〉 ,57-aga
prozessieren-1,prozessieren,58-agal
auffuhren-1,  aufführen,58-agal
eineRolledarstellen-1, 〈eine Rolle〉 darstellen,58-agal
eineSacheerledigen-1,  〈eine Sache〉 erledigen,58-agal
heftiggestikulierendreden-1,  heftig gestikulierend reden,58-agal
Rechtspraxisausuben-1,  Rechtspraxis ausüben,58-agal
grotun-1,  großtun,58-agal
grotun-2, großtun,3723-hozong
grotun-3,  großtun,6346-nagy
prahlen-1, prahlen,58-agal
prahlen-2,  prahlen,3376-hany
prahlen-3,prahlen,3494-henceg
prahlen-4,  prahlen,3546-hetvenkedik
prahlen-5, prahlen,3612-hivalkodik
prahlen-6,prahlen,4607-kerkedik
Hirschgeweih-1,Hirschgeweih,59-agancs
hakenformigesWerkzeug-1,  hakenförmiges Werkzeug,59-agancs
Hirschtier-1,  Hirschtier,59-agancs
Windhund-1,Windhund,60-agar
Windhund-2, Windhund,3697-hort
magererMensch-1,  magerer Mensch,60-agar
magererMensch-2,  magerer Mensch,2972-gereblye
Windhundpfleger-1,  Windhundpfleger,60-agar
sichaufwartsbaumen-1,sich aufwärts bäumen,61-agaskodik
aufdenZehenspitzenstehen-1, auf den Zehenspitzen stehen,61-agaskodik
indieHohestreben-1,  in die Höhe streben,61-agaskodik
Gezweige-1,Gezweige,62-agbog
Gezweige-2,  Gezweige,1457-csereklye
Lode-1,  Lode,62-agbog
Lode-2, Lode,1422-csemete
Wassertrieb-1, Wassertrieb,62-agbog
Wassertrieb-2,  Wassertrieb,2576-fiok
Verwandtschaft-1, Verwandtschaft,62-agbog
Verwandtschaft-2,  Verwandtschaft,4865-kozel
Verwandtschaft-3, Verwandtschaft,6404-nemz
Verwandtschaft-4,  Verwandtschaft,7895-rokon
dasUmundAufeinerSache-1,  das Um und Auf einer Sache,62-agbog
Ritus-1,Ritus,63-agenda
Ritus-2,Ritus,1193-ceremonia
Ritus-3,Ritus,7859-ritus
Ritual-1, Ritual,63-agenda
Konfirmation-1,  Konfirmation,63-agenda
Vertreter-1,Vertreter,64-agens
Vertreter-2, Vertreter,4734-kep
Vertreter-3,  Vertreter,8667-szemely
Geschaftsleiter-1,  Geschäftsleiter,64-agens
alt-1,alt,65-agg
alt-2,  alt,66-aggastyan
alt-3,  alt,428-avas
alt-4,  alt,429-avas
alt-5, alt,1144-canga
alt-6,  alt,6586-oreg
alt-7,  alt,6586-oreg
alt-8, alt,6620-o
alt-9,alt,6631-ocska
alt-10,  alt,6631-ocska
alt-11,  alt,6738-osdi
alt-12,  alt,7696-reg
alt-13, alt,9813-ven
alt-14,  alt,9870-veteran
bejahrt-1,  bejahrt,65-agg
bejahrt-2,bejahrt,66-aggastyan
bejahrt-3, bejahrt,3805-ido
bejahrt-4, bejahrt,6586-oreg
hochbetagtPerson-1, hochbetagt 〈Person〉,65-agg
schlau-1,  schlau,65-agg
schlau-2,  schlau,77-agyafurt
schlau-3, schlau,110-agyafurt
schlau-4, schlau,223-alnok
schlau-5,  schlau,1634-csuf
schlau-6, schlau,2671-fonak
schlau-7,  schlau,2799-furcsa
schlau-8, schlau,2800-furfang
schlau-9, schlau,2800-furfang
schlau-10,  schlau,3740-huncut
schlau-11, schlau,7608-rafinalt
schlau-12,  schlau,7662-ravasz
schlau-13, schlau,8268-sod
erfahren-1, erfahren,65-agg
erfahren-2,  erfahren,4025-jar
erfahren-3,  erfahren,5487-lat
erfahren-4, erfahren,6675-olvas
erfahren-5,erfahren,6761-otthon
erfahren-6,  erfahren,9034-tapasztal
hochgewachsen-1,  hochgewachsen,65-agg
hochgewachsen-2,  hochgewachsen,8524-szal
hochgewachsen-3,  hochgewachsen,9219-tetik
vorAltergebrochen-1, vor Alter gebrochen,66-aggastyan
bla-1,  blaß,66-aggastyan
bla-2,  blaß,3347-halvany
bla-3,  blaß,3534-hervad
bla-4,  blaß,3631-hoka
bla-5, blaß,7857-ritka
krankelnd-1, kränkelnd,66-aggastyan
krankelnd-2, kränkelnd,1359-csampas
betagterMann-1,  betagter Mann,66-aggastyan
alterJunggeselle-1,  alter Junggeselle,66-aggastyan
bejahrtesWeib-1,  bejahrtes Weib,66-aggastyan
bejahrtesWeib-2,bejahrtes Weib,289-anyos
sichangsten-1,sich ängsten,67-aggik
sichumetwkummern-1,  sich um etw kümmern,67-aggik
sichumetwkummern-2,sich um etw kümmern,101-aggik
sichumetwkummern-3, sich um etw kümmern,2255-esdek
sichumetwkummern-4, sich um etw. kümmern,3322-hajt
zusammenschrumpfen-1,  zusammenschrumpfen,67-aggik
zusammenschrumpfen-2,  zusammenschrumpfen,2682-fonnyad
zusammenschrumpfen-3,  zusammenschrumpfen,2942-gebeszkedik
zusammenschrumpfen-4,zusammenschrumpfen,5333-kuporodik
zusammenschrumpfen-5,zusammenschrumpfen,9389-toporodik
sichzusammenballen-1, sich zusammenballen,67-aggik
betriebsam-1,betriebsam,68-agilis
betriebsam-2,  betriebsam,7618-ragyiva
emsig-1, emsig,68-agilis
emsig-2,  emsig,3183-gyakor
Halbadeliger-1,  Halbadeliger,68-agilis
Halbadeliger-2,  Halbadeliger,102-agilis
unterhandeln-1,unterhandeln,69-agital
unterhandeln-2,unterhandeln,103-agital
unterhandeln-3,  unterhandeln,201-alkuszik
unterhandeln-4,unterhandeln,9431-traktal
unterhandeln-5,unterhandeln,9489-tukmal
Tatigkeitentfalten-1,  Tätigkeit entfalten,69-agital
Tatigkeitentfalten-2,  Tätigkeit entfalten,103-agital
umruhren-1,  umrühren,69-agital
umruhren-2,  umrühren,103-agital
umruhren-3,  umrühren,4165-kavar
umruhren-4,  umrühren,4312-kamatyol
umruhren-5,  umrühren,4557-kavar
umruhren-6,umrühren,4644-kever
umruhren-7,  umrühren,8272-sodor
umruhren-8,umrühren,8301-sorol
umruhren-9,  umrühren,10039-zavar
gewinnen-1,  gewinnen,69-agital
gewinnen-2,  gewinnen,103-agital
gewinnen-3, gewinnen,4595-kereskedik
gewinnen-4, gewinnen,6491-nyer
gewinnen-5,  gewinnen,6491-nyer
gewinnen-6, gewinnen,8991-talal
gewinnen-7,  gewinnen,9717-vall
gewinnen-8, gewinnen,9850-vesz
aufmuntern-1, aufmuntern,69-agital
aufmuntern-2, aufmuntern,103-agital
aufwiegeln-1,  aufwiegeln,69-agital
aufwiegeln-2,  aufwiegeln,103-agital
aufwiegeln-3, aufwiegeln,750-bizgat
aufwiegeln-4, aufwiegeln,9603-uszit
Agression-1,Agression,70-agresszio
Agression-2,Agression,104-agresszio
angriffsweise-1,angriffsweise,71-agressziv
aggressiv-1,  aggressiv,71-agressziv
aggressiv-2,  aggressiv,5352-kuruc
armlichaussehend-1,ärmlich aussehend,72-agrolszakadt
armlichaussehend-2,ärmlich aussehend,105-agrolszakadt
lumpig-1, lumpig,72-agrolszakadt
lumpig-2,  lumpig,7920-rongyos
lumpig-3, lumpig,9449-trehany
arm-1, arm,72-agrolszakadt
arm-2, arm,105-agrolszakadt
arm-3,  arm,1599-csoro
arm-4,  arm,7420-pore
arm-5,  arm,7830-rideg
arm-6,arm,8278-soher
arm-7,  arm,8625-szegeny
unbeholfen-1,  unbeholfen,72-agrolszakadt
unbeholfen-2,  unbeholfen,105-agrolszakadt
unbeholfen-3,unbeholfen,168-alamuszi
unbeholfen-4,unbeholfen,698-bibasz
unbeholfen-5, unbeholfen,1339-csajbok
unbeholfen-6,  unbeholfen,1359-csampas
unbeholfen-7, unbeholfen,2132-elhetetlen
unbeholfen-8, unbeholfen,3175-gugye
unbeholfen-9, unbeholfen,3181-gyagya
unbeholfen-10, unbeholfen,3210-gyava
unbeholfen-11,  unbeholfen,3800-idetlen
unbeholfen-12,  unbeholfen,5740-luke
unbeholfen-13,unbeholfen,5946-matyo
unbeholfen-14, unbeholfen,6385-nehez
unbeholfen-15,unbeholfen,6475-nyapic
unbeholfen-16, unbeholfen,6505-nyimnyam
unbeholfen-17,  unbeholfen,6540-nyurga
unbeholfen-18, unbeholfen,7175-pimasz
unbeholfen-19, unbeholfen,7550-pupak
unbeholfen-20,  unbeholfen,8452-suta
unbeholfen-21,unbeholfen,8473-susu
unbeholfen-22,  unbeholfen,8625-szegeny
unbeholfen-23,unbeholfen,8776-szilimany
unbeholfen-24, unbeholfen,8930-szuszimuszi
unbeholfen-25,unbeholfen,8932-szuszma
unbeholfen-26,unbeholfen,9530-tutyimutyi
unbeholfen-27,  unbeholfen,9635-ugyefogyott
ungeschickt-1, ungeschickt,72-agrolszakadt
ungeschickt-2, ungeschickt,105-agrolszakadt
