ID,Name,Concepticon_ID,Concepticon_Gloss
819-geraten,geraten,1723,RESULT IN
820-offnen,öffnen,1156,OPEN
821-schlieen,schließen,1046,SHUT
824-legen,legen,2071,LAY (VERB)
825-beruhren,berühren,1892,TOUCH
826-verbinden,verbinden,2862,CONNECT
827-bedecken,bedecken,761,COVER
828-aufhangen,aufhängen,357,HANG UP
829-anzunden,anzünden,737,LIGHT (IGNITE)
830-aufheben,aufheben,371,PICK UP
832-verlieren,verlieren,3072,MISPLACE
833-fallenlassen,fallen lassen,2866,DROP (SOMETHING)
834-machen,machen,734,MAKE
835-herstellen,herstellen,2886,PRODUCE
836-bauen,bauen,1840,BUILD
838-verbessern,verbessern,2872,IMPROVE (SOMETHING)
839-andern,ändern,1264,CHANGE
840-graben,graben,1418,DIG
842-biegen,biegen,2224,BEND (SOMETHING)
844-wenden,wenden,1445,TURN (SOMETHING)
847-hochheben,hochheben,501,LIFT
848-ergreifen,ergreifen,855,SEIZE
849-halten,halten,1448,HOLD
850-drucken,drücken,1913,PRESS
851-schieben,schieben,1452,PUSH
852-kratzen,kratzen,1767,SCRAPE
853-lecken,lecken,319,LICK
854-beien,beißen,1403,BITE
857-binden,binden,1917,TIE
859-brechen,brechen,680,BREAK (DESTROY OR GET DESTROYED)
860-klopfen,klopfen,2396,KNOCK
861-hauen,hauen,3309,STRIKE (SOMETHING)
863-reiben,reiben,1449,RUB
864-streichen,streichen,38,SPREAD OUT
865-schleifen,schleifen,251,SHARPEN (SOMETHING)
866-schneiden,schneiden,1432,CUT
867-rutteln,rütteln,2899,JOG (SOMETHING)
868-schutteln,schütteln,1909,SHAKE
869-schwenken,schwenken,2901,SWING (SOMETHING)
870-schutten,schütten,1487,POUR
871-fullen,füllen,2006,FILL
872-einwickeln,einwickeln,1113,WRAP
873-tragen,tragen,700,CARRY
874-schleppen,schleppen,2030,DRAG
875-ziehen,ziehen,1455,PULL
876-aufbewahren,aufbewahren,1477,KEEP
877-werfen,werfen,1456,THROW
880-verstecken,verstecken,2485,HIDE (ONESELF)
881-teilen,teilen,1119,DIVIDE
882-schicken,schicken,1127,SEND
883-bringen,bringen,692,BRING
884-hinzufugen,hinzufügen,2882,ADD
886-erhalten,erhalten,694,GET
887-nehmen,nehmen,1749,TAKE
888-wahlen,wählen,1750,CHOOSE
890-bewahren,bewahren,1997,PRESERVE
891-behindern,behindern,554,HINDER
892-verderben,verderben,92,SPOIL (SOMEBODY OR SOMETHING)
893-beschadigen,beschädigen,1116,DAMAGE
894-zerbrechen,zerbrechen,2558,BREAK (CLEAVE)
895-zerreien,zerreißen,1735,TEAR (SHRED)
896-zerstoren,zerstören,681,DESTROY
897-verbrennen,verbrennen,141,BURN (SOMETHING)
898-geben,geben,1447,GIVE
900-schenken,schenken,196,DONATE
901-versprechen,versprechen,1675,PROMISE
904-kussen,küssen,578,KISS
908-zeigen,zeigen,1039,SHOW
910-lehren,lehren,709,TEACH
912-aufziehen,aufziehen,2134,RAISE (BRING UP)
913-leiten,leiten,43,LEAD (GUIDE)
914-antreiben,antreiben,2881,URGE (SOMEONE)
915-lassen,lassen,2896,CAUSE TO (LET)
916-einladen,einladen,1611,INVITE
917-vereinigen,vereinigen,1743,JOIN
918-besuchen,besuchen,1377,VISIT
919-treffen,treffen,1831,MEET
920-sichversammeln,sich versammeln,3638,ASSEMBLE (GET TOGETHER)
921-spielen,spielen,1413,PLAY
922-singen,singen,1261,SING
923-tanzen,tanzen,1879,DANCE
924-sichtrennen,sich trennen,1359,SEPARATE
926-retten,retten,2008,RESCUE
927-bewachen,bewachen,1940,GUARD
928-schutzen,schützen,2900,PROTECT
929-verteidigen,verteidigen,1330,DEFEND
930-sichschlagen,sich schlagen,2902,BRAWL (FIGHT)
931-schieen,schießen,1172,SHOOT
932-siegen,siegen,866,WIN
933-argern,ärgern,2892,MAKE ANGRY (ANNOY)
934-schlagen,schlagen,3308,STRIKE (SOMEONE)
935-treten,treten,1135,KICK
936-stechen,stechen,571,STING
938-stehlen,stehlen,713,STEAL
939-storen,stören,2883,DISTURB
940-belastigen,belästigen,2869,BOTHER (HARASS)
941-verbergen,verbergen,602,HIDE (CONCEAL)
943-betrugen,betrügen,3055,SWINDLE
944-toten,töten,1417,KILL
945-wohnen,wohnen,363,"DWELL (LIVE, RESIDE)"
947-sammeln,sammeln,7,GATHER
948-pflucken,pflücken,2148,PICK
949-jagen,jagen,1435,HUNT
950-fischen,fischen,2638,FISHING
952-huten,hüten,2885,HERD (SOMETHING)
953-treiben,treiben,2868,DRIVE (CATTLE)
954-anbinden,anbinden,2891,TIE UP (TETHER)
955-futtern,füttern,739,FEED
956-melken,melken,93,DRAW MILK
957-hacken,hacken,2149,CHOP (INTO PIECES)
958-gieen,gießen,3078,IRRIGATE
959-reifen,reifen,179,RIPEN
960-zubereiten,zubereiten,1100,COOK (SOMETHING)
962-backen,backen,183,BAKE
963-braten,braten,991,FRY
964-umruhren,umrühren,696,STIR
965-stricken,stricken,2905,KNIT
966-nahen,nähen,1457,SEW
967-farben,färben,157,DYE
968-reinigen,reinigen,2235,CLEAN (SOMETHING)
969-waschen,waschen,1453,WASH
971-spulen,spülen,2904,RINSE
972-fegen,fegen,230,SWEEP
974-baden,baden,138,BATHE
977-anziehen,anziehen,158,PUT ON
978-sichanziehen,sich anziehen,814,DRESS UP
979-kammen,kämmen,2070,COMB (VERB)
980-schmucken,schmücken,1739,DECORATE
981-sagen,sagen,1458,SAY
982-sprechen,sprechen,1623,SPEAK
983-reden,reden,2708,TALK
984-sichunterhalten,sich unterhalten,2903,CHAT (WITH SOMEBODY)
985-fragen,fragen,1309,ASK (INQUIRE)
986-bitten,bitten,1828,ASK (REQUEST)
988-mitteilen,mitteilen,2898,CONVEY (A MESSAGE)
989-nennen,nennen,180,CALL BY NAME
990-rufen,rufen,1084,CALL
991-prahlen,prahlen,101,BOAST
992-ubersetzen,übersetzen,2906,TRANSLATE
993-denken,denken,1415,THINK (REFLECT)
994-glauben,glauben,1890,BELIEVE
995-bemerken,bemerken,2893,NOTICE (SOMETHING)
996-erkennen,erkennen,2870,RECOGNIZE (SOMEBODY)
998-verstehen,verstehen,1536,UNDERSTAND
1000-wissen,wissen,1410,KNOW (SOMETHING)
1001-sicherinnernan,sich erinnern an,707,REMEMBER
1002-vergessen,vergessen,1523,FORGET
1003-messen,messen,1506,MEASURE
1004-zahlen,zählen,1420,COUNT
1006-lesen,lesen,724,READ
1007-malen,malen,2001,PAINTING
1009-schreiben,schreiben,1672,WRITE
1010-besitzen,besitzen,684,OWN
1011-kaufen,kaufen,1869,BUY
1012-verkaufen,verkaufen,1571,SELL
1014-zahlen,zahlen,718,PAY
1015-beherrschen,beherrschen,1846,RULE
1016-ertragen,ertragen,833,ENDURE
