ID,Language_ID,Headword,Part_Of_Speech,Year,Etymology,Loan
1-a,Hungarian,a¹,,1833.0,,true
2-a,Hungarian,á,,1372.0,,true
3-aba,Hungarian,aba ×,,1556.0,Ottoman-Turkic,true
4-abajdoc,Hungarian,abajdoc,,1320.0,Slavic,true
5-abajgat,Hungarian,abajgat,,1662.0,,true
6-abajog,Hungarian,abajog ×,,1838.0,derived word,true
7-abal,Hungarian,abál,,1561.0,Slavic,true
8-abcug,Hungarian,abcúg ∆,,1869.0,German,true
9-abdal,Hungarian,ábdál ×,,1585.0,Latin,true
10-abece,Hungarian,ábécé,,1510.0,compound,true
11-abesszin,Hungarian,abesszin ∆,,1573.0,,true
12-ablak,Hungarian,ablak,,1372.0,Slovenian,true
13-abora,Hungarian,abora ×,,1586.0,Ukranian,true
14-abrak,Hungarian,abrak,,1494.0,Slavic,true
15-abrakadabra,Hungarian,abrakadabra,,1788.0,international word,true
16-abrandozik,Hungarian,ábrándozik,,1794.0,,true
17-abraz,Hungarian,ábráz  †,,1372.0,,true
18-abriktol,Hungarian,abriktol ×,,1835.0,,true
19-abroncs,Hungarian,abroncs,,1467.0,Slavic,true
20-abrosz,Hungarian,abrosz,,1372.0,Slavic,true
21-abszint,Hungarian,abszint ∆,,1870.0,international word,true
22-abszolut,Hungarian,abszolút,,1579.0,,true
23-abszolutizmus,Hungarian,abszolutizmus,,1833.0,Latin,true
24-absztrakcio,Hungarian,absztrakció,,1786.0,,true
25-absztrakt,Hungarian,absztrakt,,1835.0,international word,true
26-abszurd,Hungarian,abszurd,,1761.0,,true
27-acel,Hungarian,acél,,1086.0,Slavic,true
28-achat,Hungarian,achát,,1604.0,Wanderwort,true
29-acintos,Hungarian,acintos ×,,1816.0,internal,true
30-acs,Hungarian,ács,,1222.0,Turkic,true
31-acsa,Hungarian,acsa ×,,,unknown,true
32-acsarkodik,Hungarian,acsarkodik,,1645.0,,true
33-acsi,Hungarian,ácsi,,1777.0,,true
34-acsingozik,Hungarian,ácsingózik ×,,1833.0,,true
35-acsorog,Hungarian,ácsorog,,1652.0,derived word,true
36-ad,Hungarian,ad,,1086.0,Proto-Finno-Ugric,true
37-adamcsutka,Hungarian,ádámcsutka,,1845.0,compound,true
38-adamkosztum,Hungarian,ádámkosztüm,,,German,true
39-adazik,Hungarian,ádázik ∆,,1533.0,,true
40-adjunktus,Hungarian,adjunktus,,1699.0,Latin,true
41-adjusztal,Hungarian,adjusztál,,1717.0,,true
42-adjutans,Hungarian,adjutáns,,1651.0,international word,true
43-adminisztrator,Hungarian,adminisztrátor,,1566.0,,true
44-admiralis,Hungarian,admirális ∆,,1655.0,international word,true
45-ado,Hungarian,adó,,1359.0,derived word,true
46-adoma,Hungarian,adoma,,1851.0,internal,true
47-adoptal,Hungarian,adoptál,,1785.0,Latin,true
48-adressziroz,Hungarian,adresszíroz ∆,,1789.0,,true
49-adu,Hungarian,adu,,1799.0,loan,true
50-advent,Hungarian,advent,,1470.0,Latin,true
51-affektal,Hungarian,affektál,,1587.0,,true
52-affer,Hungarian,affér,,1835.0,German,true
53-afium,Hungarian,áfium ∆,,1546.0,,true
54-afonya,Hungarian,áfonya,,1708.0,Romanian,true
55-afrik,Hungarian,afrik ∆,,1893.0,German,true
56-ag,Hungarian,ág,,1131.0,uncertain,true
57-aga,Hungarian,aga,,1544.0,Ottoman-Turkic,true
