ID,Language_ID,Headword,Part_Of_Speech,Year,Etymology,Loan
58-agal,Hungarian,ágál,,1568.0,Latin,true
59-agancs,Hungarian,agancs,,1845.0,internal,true
60-agar,Hungarian,agár,,1193.0,Slavic,true
61-agaskodik,Hungarian,ágaskodik,,1566.0,derived word,true
62-agbog,Hungarian,ág-bog,,1522.0,compound,true
63-agenda,Hungarian,ágenda ∆,,1550.0,,true
64-agens,Hungarian,ágens ∆,,1616.0,Latin,true
65-agg,Hungarian,agg,,1315.0,,true
66-aggastyan,Hungarian,aggastyán,,1536.0,internal,true
67-aggik,Hungarian,aggik ∆,,1486.0,,true
68-agilis,Hungarian,agilis,,1796.0,Latin,true
69-agital,Hungarian,agitál,,1589.0,,true
70-agresszio,Hungarian,agresszió,,1657.0,,true
71-agressziv,Hungarian,agresszív,,1848.0,Latin,true
72-agrolszakadt,Hungarian,ágrólszakadt,,1793.0,compound,true
73-agronomus,Hungarian,agronómus,,1865.0,international word,true
74-agy,Hungarian,agy,,1138.0,Proto-Finno-Ugric,true
75-agy,Hungarian,ágy,,1276.0,,true
76-agyabugyal,Hungarian,agyabugyál,,1669.0,internal,true
77-agyafurt,Hungarian,agyafúrt,,1538.0,compound,true
78-agyag,Hungarian,agyag,,1205.0,unknown,true
79-agyar,Hungarian,agyar,,1456.0,Proto-Finno-Ugric,true
80-agyek,Hungarian,ágyék,,1490.0,derived word,true
81-agynemu,Hungarian,ágynemű,,1748.0,compound,true
82-agyon,Hungarian,agyon,,1551.0,lexicalized inflected word-form,true
83-agyu,Hungarian,ágyú,,1456.0,uncertain,true
84-ahit,Hungarian,áhít,,1416.0,onomatopoetic,true
85-aj,Hungarian,áj² ∆,,1055.0,,true
86-ajak,Hungarian,ajak,,1228.0,derived word,true
87-ajandek,Hungarian,ajándék,,1137.0,derived word,true
88-ajanl,Hungarian,ajánl,,1372.0,derived word,true
89-ajer,Hungarian,ájer ×,,1565.0,Latin,true
90-ajnaroz,Hungarian,ajnároz,,1825.0,uncertain,true
91-ajtatos,Hungarian,ájtatos,,1372.0,derived word,true
92-ajto,Hungarian,ajtó,,1315.0,derived word,true
93-ajtofel,Hungarian,ajtófél,,1512.0,compound,true
94-ajul,Hungarian,ájul,,1559.0,onomatopoetic,true
95-ajz,Hungarian,ajz,,1552.0,derived word,true
96-akac,Hungarian,akác,,1783.0,loan,true
97-akademia,Hungarian,akadémia,,1559.0,,true
98-akar,Hungarian,akar,,4811.0,uncertain,true
99-akar,Hungarian,akár,,1372.0,change of word class,true
100-akaszt,Hungarian,akaszt,,1192.0,,true
101-aggik,Hungarian,aggik¹ ∆,,1577.0,,true
102-agilis,Hungarian,agilis,,1796.0,,true
103-agital,Hungarian,agitál,,1589.0,,true
104-agresszio,Hungarian,agresszió,,1657.0,,true
105-agrolszakadt,Hungarian,ágrólszakadt,,1793.0,,true
106-agronomus,Hungarian,agronómus,,1865.0,,true
107-agy,Hungarian,agy,,1138.0,,true
108-agy,Hungarian,ágy,,1276.0,,true
109-agyabugyal,Hungarian,agyabugyál,,1669.0,,true
110-agyafurt,Hungarian,agyafúrt,,1538.0,,true
111-agyag,Hungarian,agyag,,1205.0,,true
112-agyar,Hungarian,agyar,,1456.0,,true
113-agyek,Hungarian,ágyék,,1490.0,,true
114-agynemu,Hungarian,ágynemű,,1748.0,,true
115-agyon,Hungarian,agyon,,1551.0,,true
116-agyu,Hungarian,ágyú,,1456.0,,true
117-ahit,Hungarian,áhít,,1416.0,,true
118-aj,Hungarian,áj¹ ×,,1833.0,,true
119-aj,Hungarian,áj² ∆,,1055.0,,true
120-ajak,Hungarian,ajak,,1228.0,,true
121-ajandek,Hungarian,ajándék,,1137.0,,true
122-ajanl,Hungarian,ajánl,,1372.0,,true
123-ajer,Hungarian,ájer ×,,1565.0,,true
124-ajnaroz,Hungarian,ajnároz,,1825.0,,true
125-ajtatos,Hungarian,ájtatos,,1372.0,,true
126-ajto,Hungarian,ajtó,,1315.0,,true
127-ajtofel,Hungarian,ajtófél,,1512.0,,true
128-ajul,Hungarian,ájul,,1559.0,,true
129-ajz,Hungarian,ajz,,1552.0,,true
130-akac,Hungarian,akác,,1783.0,,true
131-akademia,Hungarian,akadémia,,1559.0,,true
132-akar,Hungarian,akar,,1109.0,,true
133-akar,Hungarian,akár,,1372.0,,true
134-akaszt,Hungarian,akaszt,,1192.0,,true
135-akceptal,Hungarian,akceptál,,1570.0,Latin,true
136-akcio,Hungarian,akció,,1589.0,Latin,true
137-akkord,Hungarian,akkord¹ ∆,,1626.0,Wanderwort,true
138-akkord,Hungarian,akkord²,,1802.0,international word,true
139-akkumulal,Hungarian,akkumulál,,1725.0,,true
140-akkumulacio,Hungarian,akkumuláció,,1730.0,,true
141-akkuratus,Hungarian,akkurátus,,1758.0,Latin,true
142-akna,Hungarian,akna,,1177.0,Slavic,true
143-ako,Hungarian,akó ∆,,1226.0,Slavic,true
144-akol,Hungarian,akol,,1086.0,Slavic,true
145-akombakom,Hungarian,ákombákom,,1609.0,internal,true
146-akovita,Hungarian,ákovita ×,,1620.0,Wanderwort,true
147-akrobata,Hungarian,akrobata,,1840.0,international word,true
148-akt,Hungarian,akt,,1893.0,German,true
149-akt,Hungarian,Akt,,,,true
150-akta,Hungarian,akta,,1613.0,Latin,true
151-aktivitas,Hungarian,aktivitás,,1704.0,,true
152-aktivizal,Hungarian,aktivizál,,1820.0,,true
153-aktualis,Hungarian,aktuális,,1708.0,,true
154-aktus,Hungarian,aktus,,1618.0,Latin,true
155-akusztika,Hungarian,akusztika,,1845.0,international word,true
156-akvarell,Hungarian,akvarell,,1844.0,international word,true
157-akvarium,Hungarian,akvárium,,1877.0,international word,true
158-al,Hungarian,al,,1219.0,,true
159-al,Hungarian,ál,,1215.0,,true
160-ala,Hungarian,alá,,1307.0,,true
161-alabard,Hungarian,alabárd ∆,,1550.0,Wanderwort,true
162-alabastrom,Hungarian,alabástrom,,1416.0,Latin,true
163-alacsony,Hungarian,alacsony,,1211.0,derived word,true
164-alafa,Hungarian,alafa †,,1535.0,Ottoman-Turkic,true
165-alak,Hungarian,alak¹,,1338.0,,true
166-alakor,Hungarian,alakor ×,,1450.0,,true
167-alamizsna,Hungarian,alamizsna,,1372.0,Slavic,true
168-alamuszi,Hungarian,alamuszi,,1632.0,,true
169-alan,Hungarian,alán,,1559.0,Latin,true
170-alany,Hungarian,alany,,1790.0,Latin,true
171-alap,Hungarian,alap,,1774.0,internal,true
172-alarm,Hungarian,alarm ∆,,1722.0,,true
173-alarmiroz,Hungarian,alarmíroz ∆,,1848.0,Wanderwort,true
174-alaszolgaja,Hungarian,alászolgája ∆,,1793.0,blending,true
175-alattomban,Hungarian,alattomban,,1519.0,,true
176-alattsag,Hungarian,alattság ×,,1395.0,Croatian or Serbian,true
177-alattvalo,Hungarian,alattvaló,,1604.0,compound,true
178-alavalo,Hungarian,alávaló,,1416.0,compound,true
179-alaz,Hungarian,aláz,,1372.0,derived word,true
180-alban,Hungarian,albán,,1559.0,Latin,true
181-album,Hungarian,album,,1620.0,international word,true
182-alca,Hungarian,álca,,1853.0,blending,true
183-ald,Hungarian,áld,,1193.0,Proto-Finno-Ugric,true
184-aldomas,Hungarian,áldomás,,1200.0,derived word,true
185-aldoz,Hungarian,áldoz,,1372.0,derived word,true
186-alel,Hungarian,alél,,1552.0,,true
187-alfa,Hungarian,alfa,,1519.0,Latin,true
188-alga,Hungarian,alga,,1858.0,Latin,true
189-algebra,Hungarian,algebra,,1708.0,international word,true
190-alibi,Hungarian,alibi,,1843.0,international word,true
191-alig,Hungarian,alig,,1372.0,lexicalized inflected word-form,true
192-alit,Hungarian,alít ×,,1372.0,derived word,true
193-alkalom,Hungarian,alkalom,,1372.0,derived word,true
194-alkat,Hungarian,alkat,,1800.0,internal,true
195-alkohol,Hungarian,alkohol,,1789.0,,true
196-alkonyodik,Hungarian,alkonyodik,,1573.0,,true
197-alkoran,Hungarian,alkorán †,,1559.0,Wanderwort,true
198-alkot,Hungarian,alkot,,1416.0,,true
199-alkov,Hungarian,alkóv,,1763.0,international word,true
200-alkormos,Hungarian,alkörmös ∆,,1626.0,,true
201-alkuszik,Hungarian,alkuszik,,1474.0,,true
202-all,Hungarian,áll¹,,1372.0,,true
203-all,Hungarian,áll²,,1405.0,,true
204-allag,Hungarian,állag,,1837.0,Latin,true
205-allam,Hungarian,állam,,1836.0,Latin,true
206-allando,Hungarian,állandó,,1519.0,derived word,true
207-allapik,Hungarian,állapik †,,1416.0,,true
208-allapotos,Hungarian,állapotos,,1931.0,derived word,true
209-allaspont,Hungarian,álláspont,,1813.0,German,true
210-allat,Hungarian,állat,,1372.0,derived word,true
211-alle,Hungarian,allé,,1752.0,international word,true
212-alleluja,Hungarian,alleluja,,1416.0,Latin,true
213-allitmany,Hungarian,állítmány,,1792.0,internal,true
214-allitolag,Hungarian,állítólag,,1803.0,internal,true
215-allkapca,Hungarian,állkapca ×,,1550.0,compound,true
216-allkapocs,Hungarian,állkapocs,,1809.0,compound,true
217-allomas,Hungarian,állomás,,1829.0,Latin,true
218-allur,Hungarian,allűr,,1879.0,German,true
219-alma,Hungarian,alma,,1009.0,Turkic,true
220-almanach,Hungarian,almanach ∆,,1613.0,Wanderwort,true
221-almarium,Hungarian,almárium ×,,1517.0,Latin,true
222-almel,Hungarian,álmél †,,1456.0,,true
223-alnok,Hungarian,álnok,,1247.0,derived word,true
224-alo,Hungarian,aló ∆,,1749.0,loan,true
225-aloe,Hungarian,áloé,,1416.0,Latin,true
226-alom,Hungarian,alom,,1531.0,Proto-Ugric,true
227-alom,Hungarian,álom,,1091.0,Proto-Finno-Ugric,true
228-alomars,Hungarian,alómars,,1774.0,loan,true
229-alomszuszek,Hungarian,álomszuszék,,1723.0,compound,true
230-alorca,Hungarian,álorca ∆,,1520.0,,true
231-alpari,Hungarian,alpári,,1790.0,derived word,true
232-also,Hungarian,alsó,,1260.0,derived word,true
233-alszik,Hungarian,alszik,,1265.0,,true
234-alt,Hungarian,alt,,1802.0,German,true
235-altal,Hungarian,által,,1258.0,,true
236-altalveto,Hungarian,általvető,,1672.0,derived word,true
237-aluminium,Hungarian,alumínium,,1879.0,international word,true
238-am,Hungarian,ám,,1462.0,,true
239-amator,Hungarian,amatőr,,1833.0,German,true
240-amazon,Hungarian,amazon,,1559.0,Latin,true
241-ambar,Hungarian,ámbár,,1540.0,,true
242-ambicio,Hungarian,ambíció,,1577.0,,true
243-ambitus,Hungarian,ámbitus ×,,1510.0,Latin,true
244-ambra,Hungarian,ámbra,,1577.0,Wanderwort,true
245-ambrozia,Hungarian,ambrózia,,1653.0,Latin,true
246-amen,Hungarian,ámen,,1527.0,Latin,true
247-ametiszt,Hungarian,ametiszt,,1516.0,Wanderwort,true
248-amnesztia,Hungarian,amnesztia,,1611.0,Latin,true
249-amokfuto,Hungarian,ámokfutó,,1925.0,German,true
250-amolyog,Hungarian,ámolyog ×,,1767.0,onomatopoetic,true
251-ampolna,Hungarian,ámpolna ∆,,1405.0,loan,true
252-ampulla,Hungarian,ampulla,,1685.0,Latin,true
253-amputacio,Hungarian,amputáció,,1796.0,,true
254-amul,Hungarian,ámul,,1456.0,,true
255-amulett,Hungarian,amulett,,1690.0,Latin,true
256-analfabeta,Hungarian,analfabéta,,1879.0,,true
257-ananasz,Hungarian,ananász,,1757.0,international word,true
258-anarchia,Hungarian,anarchia,,1708.0,,true
259-andalodik,Hungarian,andalodik,,1660.0,,true
260-andung,Hungarian,ándung ×,,1823.0,German,true
261-anekdota,Hungarian,anekdota,,1789.0,international word,true
262-angaria,Hungarian,angária ∆,,1595.0,,true
263-angin,Hungarian,angin,,1785.0,loan,true
264-anglikan,Hungarian,anglikán,,1684.0,international word,true
265-anglus,Hungarian,anglus ∆,,1405.0,,true
266-angolna,Hungarian,angolna,,1525.0,Latin,true
267-angy,Hungarian,ángy ×,,1380.0,Proto-Uralic,true
268-angyal,Hungarian,angyal,,1405.0,loan,true
269-angyalbor,Hungarian,angyalbőr,,1790.0,compound,true
270-angyelika,Hungarian,angyélika ∆,,1516.0,Latin,true
271-anizs,Hungarian,ánizs,,1378.0,Wanderwort,true
272-anket,Hungarian,ankét,,1868.0,French,true
273-anorak,Hungarian,anorák,,1941.0,international word,true
274-anslog,Hungarian,ánslóg ×,,1697.0,loan,true
275-antal,Hungarian,antal †,,1552.0,derived word,true
276-antenna,Hungarian,antenna¹ †,,1620.0,Italian,true
277-antenna,Hungarian,antenna²,,1893.0,international word,true
278-antik,Hungarian,antik,,1793.0,international word,true
279-antikvarius,Hungarian,antikvárius,,1752.0,,true
280-antilop,Hungarian,antilop,,1837.0,international word,true
281-antipatia,Hungarian,antipátia,,1589.0,,true
282-anya,Hungarian,anya,,1181.0,Proto-Uralic,true
283-anyag,Hungarian,anyag,,1789.0,Latin,true
284-anyakonyv,Hungarian,anyakönyv,,1806.0,compound,true
285-anyanyelv,Hungarian,anyanyelv,,1776.0,German,true
286-anyarozs,Hungarian,anyarozs ×,,1790.0,German,true
287-anyaszentegyhaz,Hungarian,anyaszentegyház,,1470.0,compound,true
288-annyi,Hungarian,annyi,,1372.0,derived word,true
289-anyos,Hungarian,anyós,,1608.0,derived word,true
290-apa,Hungarian,apa,,1055.0,Proto-Finno-Ugric,true
291-apaca,Hungarian,apáca,,1256.0,uncertain,true
292-apacs,Hungarian,apacs ∆,,1909.0,international word,true
293-apad,Hungarian,apad,,1131.0,,true
294-apaszt,Hungarian,apaszt,,1399.0,,true
295-apanazs,Hungarian,apanázs ∆,,1793.0,international word,true
296-apat,Hungarian,apát,,1180.0,uncertain,true
297-apellal,Hungarian,apellál,,1559.0,,true
298-aperte,Hungarian,áperte ×,,1617.0,Latin,true
299-apetitus,Hungarian,apetitus ×,,1593.0,Latin,true
300-apol,Hungarian,ápol,,1372.0,derived word,true
301-aporodik,Hungarian,áporodik,,1588.0,uncertain,true
302-apos,Hungarian,após,,1608.0,derived word,true
303-apostol,Hungarian,apostol,,1217.0,Latin,true
304-apparatus,Hungarian,apparátus,,1600.0,Latin,true
305-aprehendal,Hungarian,aprehendál ∆,,1572.0,Latin,true
306-aprilis,Hungarian,április,,1416.0,Latin,true
307-apro,Hungarian,apró,,1268.0,uncertain,true
308-aprocsepro,Hungarian,apró-cseprő,,1598.0,compound,true
309-aprod,Hungarian,apród,,1300.0,derived word,true
310-apropo,Hungarian,apropó,,1706.0,international word,true
311-ar,Hungarian,ár¹  ∆,,1193.0,,true
312-ar,Hungarian,ár²,,1395.0,Proto-Finno-Ugric,true
313-ar,Hungarian,ár³,,1836.0,,true
314-ara,Hungarian,ara ∆,,1479.0,derived word,true
315-arab,Hungarian,arab,,1571.0,Latin,true
316-aramlik,Hungarian,áramlik,,1820.0,,true
317-aranka,Hungarian,aranka,,1768.0,derived word,true
318-arany,Hungarian,arany,,1075.0,Proto-Ugric,true
319-aranyer,Hungarian,aranyér,,1742.0,compound,true
320-aranyoz,Hungarian,arányoz ∆,,1527.0,,true
321-arasz,Hungarian,arasz,,1405.0,Proto-Finno-Ugric,true
322-arat,Hungarian,arat,,1211.0,uncertain,true
323-arboc,Hungarian,árbóc,,1470.0,,true
324-archaizmus,Hungarian,archaizmus,,1806.0,,true
325-archivum,Hungarian,archívum,,1688.0,Latin,true
326-ardo,Hungarian,ardó †,,1248.0,compound,true
327-arena,Hungarian,aréna,,1550.0,Latin,true
328-arendal,Hungarian,árendál ×,,1556.0,,true
329-arestal,Hungarian,árestál ∆,,1579.0,,true
330-arfolyam,Hungarian,árfolyam,,1832.0,compound,true
331-argo,Hungarian,argó,,1904.0,French,true
332-argumentum,Hungarian,argumentum,,1569.0,,true
333-argusszem,Hungarian,árgusszem,,1786.0,compound,true
334-arguval,Hungarian,árguvál ×,,1527.0,Latin,true
335-argyelus,Hungarian,árgyélus ×,,1844.0,,true
336-aria,Hungarian,ária,,1778.0,Italian,true
337-arisztokracia,Hungarian,arisztokrácia,,1708.0,,true
338-arja,Hungarian,árja,,1857.0,international word,true
339-arkad,Hungarian,árkád,,1853.0,German,true
340-arkangyal,Hungarian,arkangyal,,1372.0,loan,true
341-arkany,Hungarian,árkány ×,,1789.0,Turkic,true
342-arkus,Hungarian,árkus ×,,1512.0,Latin,true
343-armada,Hungarian,armada †,,1609.0,,true
344-armalis,Hungarian,ármális ∆,,1614.0,,true
345-armanyos,Hungarian,ármányos ∆,,1692.0,,true
346-armany,Hungarian,ármány,,1804.0,,true
347-armas,Hungarian,ármás ×,,1572.0,,true
348-arnot,Hungarian,arnót †,,1603.0,Ottoman-Turkic,true
349-arnyek,Hungarian,árnyék,,1275.0,,true
350-arnyekszek,Hungarian,árnyékszék ∆,,1508.0,compound,true
351-arok,Hungarian,árok,,1055.0,Turkic,true
352-aroma,Hungarian,aroma,,1416.0,Latin,true
353-arpa,Hungarian,árpa,,1086.0,Turkic,true
354-art,Hungarian,árt¹,,1456.0,,true
355-art,Hungarian,árt²,,1512.0,paronymy,true
356-artany,Hungarian,ártány,,1075.0,uncertain,true
357-artezikut,Hungarian,artézikút,,1832.0,,true
358-articsoka,Hungarian,articsóka,,1585.0,loan,true
359-artikulal,Hungarian,artikulál,,1840.0,,true
360-artista,Hungarian,artista,,1789.0,international word,true
361-aru,Hungarian,áru,,1138.0,,true
362-arva,Hungarian,árva,,1152.0,Proto-Finno-Ugric,true
363-arvacska,Hungarian,árvácska,,1642.0,derived word,true
364-arvalanyhaj,Hungarian,árvalányhaj,,1585.0,compound,true
365-arveres,Hungarian,árverés,,1831.0,compound,true
366-arviz,Hungarian,árvíz,,1395.0,compound,true
367-arzenal,Hungarian,arzenál,,1620.0,international word,true
368-as,Hungarian,ás,,1265.0,unknown,true
369-asit,Hungarian,ásít,,1372.0,onomatopoetic,true
370-askal,Hungarian,áskál ×,,1604.0,,true
371-aspa,Hungarian,áspa ×,,1405.0,,true
372-aspiral,Hungarian,aspirál,,1563.0,,true
373-aspiracio,Hungarian,aspiráció,,1806.0,,true
374-aspirans,Hungarian,aspiráns,,1806.0,,true
375-aspis,Hungarian,áspis,,1372.0,Latin,true
376-asvany,Hungarian,ásvány,,1055.0,derived word,true
377-asz,Hungarian,ász,,1804.0,international word,true
378-aszat,Hungarian,aszat,,1597.0,Slavic,true
379-aszfalt,Hungarian,aszfalt,,1577.0,Latin,true
380-aszik,Hungarian,aszik,,1275.0,Proto-Ugric,true
381-aszkezis,Hungarian,aszkézis,,1792.0,,true
382-aszo,Hungarian,aszó,,1055.0,derived word,true
383-aszok,Hungarian,ászok,,1480.0,Turkic,true
384-aszpik,Hungarian,aszpik,,1836.0,international word,true
385-aszpirin,Hungarian,aszpirin,,1899.0,German,true
386-asszir,Hungarian,asszír,,1416.0,Latin,true
387-asszisztal,Hungarian,asszisztál,,1623.0,,true
388-asszo,Hungarian,asszó,,1876.0,German,true
389-asszony,Hungarian,asszony,,1150.0,Alanic,true
390-asztag,Hungarian,asztag,,1395.0,Slavic,true
391-asztal,Hungarian,asztal,,1293.0,Slavic,true
392-asztalnok,Hungarian,asztalnok ∆,,1382.0,Slavic,true
393-asztma,Hungarian,asztma,,1695.0,,true
394-asztrakan,Hungarian,asztrakán ×,,1807.0,international word,true
395-aszu,Hungarian,aszú,,1217.0,derived word,true
396-atabotas,Hungarian,átabotás ×,,1577.0,,true
397-atalag,Hungarian,átalag ∆,,1395.0,,true
398-atall,Hungarian,átall,,1416.0,derived word,true
399-ateizmus,Hungarian,ateizmus,,1752.0,,true
400-atilla,Hungarian,atilla ∆,,1833.0,internal,true
401-atka,Hungarian,atka,,1794.0,unknown,true
402-atkoz,Hungarian,átkoz,,1372.0,,true
403-atlag,Hungarian,átlag,,1851.0,internal,true
404-atlasz,Hungarian,atlasz¹,,1380.0,Wanderwort,true
405-atlasz,Hungarian,atlasz²,,1692.0,international word,true
406-atleta,Hungarian,atléta,,1636.0,,true
407-atlo,Hungarian,átló,,1786.0,derived word,true
408-atmoszfera,Hungarian,atmoszféra,,1757.0,international word,true
409-atom,Hungarian,atom,,1647.0,,true
410-atracel,Hungarian,atracél,,1401.0,Slovakian,true
411-attakiroz,Hungarian,attakíroz ∆,,1663.0,,true
412-attrakcio,Hungarian,attrakció,,1842.0,international word,true
413-atval,Hungarian,atval †,,1395.0,compound,true
414-atya,Hungarian,atya,,1181.0,Proto-Uralic,true
415-atyafi,Hungarian,atyafi,,1372.0,compound,true
416-augusztus,Hungarian,augusztus,,1416.0,Latin,true
417-aula,Hungarian,aula,,1653.0,,true
418-auto,Hungarian,autó,,1909.0,international word,true
419-autobusz,Hungarian,autóbusz,,1906.0,international word,true
420-autogram,Hungarian,autogram,,1900.0,German,true
421-automata,Hungarian,automata,,1822.0,,true
422-automatizal,Hungarian,automatizál,,1935.0,international word,true
423-automobil,Hungarian,automobil ∆,,1894.0,international word,true
424-autonomia,Hungarian,autonómia,,1826.0,,true
425-avagy,Hungarian,avagy,,1372.0,compound,true
426-avar,Hungarian,avar¹,,1485.0,Proto-Finno-Ugric,true
427-avar,Hungarian,avar²,,1559.0,Latin,true
428-avas,Hungarian,avas¹ ×,,1232.0,semantic change,true
429-avas,Hungarian,avas²,,1580.0,derived word,true
430-avat,Hungarian,avat,,1269.0,derived word,true
431-avik,Hungarian,avik¹ ∆,,1565.0,,true
432-avul,Hungarian,avul,,1416.0,,true
433-avit,Hungarian,avít ∆,,1604.0,Proto-Finno-Ugric,true
434-az,Hungarian,az¹,,1372.0,,true
435-az,Hungarian,az²,,1372.0,,true
436-azaz,Hungarian,azaz,,1372.0,compound,true
437-azbeszt,Hungarian,azbeszt,,1655.0,international word,true
438-azik,Hungarian,ázik,,1231.0,uncertain,true
439-azonban,Hungarian,azonban,,1416.0,lexicalized inflected word-form,true
440-azonnal,Hungarian,azonnal,,1474.0,lexicalized inflected word-form,true
441-azonos,Hungarian,azonos,,1810.0,internal,true
442-azur,Hungarian,azúr,,1789.0,international word,true
443-azutan,Hungarian,azután,,1372.0,,true
444-azsag,Hungarian,azsag ×,,1550.0,Slavic,true
445-azsio,Hungarian,ázsió,,1842.0,international word,true
446-azsur,Hungarian,azsúr,,1843.0,loan,true
447-abraz,Hungarian,ábráz  †,,1372.0,,true
448-asszir,Hungarian,asszír,,1416.0,,true
449-aszkezis,Hungarian,aszkézis,,1792.0,,true
450-atleta,Hungarian,atléta,,1636.0,,true
451-bab,Hungarian,bab,,1211.0,Slavic,true
452-bab,Hungarian,báb,,1055.0,onomatopoetic,true
453-baba,Hungarian,baba,,1138.0,onomatopoetic,true
454-baba,Hungarian,bába,,1111.0,Slavic,true
455-baber,Hungarian,babér,,1552.0,Wanderwort,true
456-babirkal,Hungarian,babirkál ×,,1587.0,,true
457-babo,Hungarian,bábó ×,,1641.0,,true
458-babona,Hungarian,babona,,1533.0,Slovakian,true
459-babu,Hungarian,bábu,,1693.0,onomatopoetic,true
460-babug,Hungarian,babug ∆,,1585.0,derived word,true
461-babuk,Hungarian,babuk ×,,1600.0,,true
462-babusgat,Hungarian,babusgat,,1628.0,derived word,true
463-bacilus,Hungarian,bacilus,,1883.0,international word,true
464-bacs,Hungarian,bács ×,,1462.0,Romanian,true
465-bacsi,Hungarian,bácsi,,1787.0,derived word,true
466-badar,Hungarian,badar,,1803.0,internal,true
467-badog,Hungarian,bádog,,1329.0,unknown,true
468-bagaria,Hungarian,bagaria,,1552.0,Ottoman-Turkic,true
469-bagatell,Hungarian,bagatell,,1703.0,international word,true
470-bagazia,Hungarian,bagazia ∆,,1544.0,Croatian or Serbian,true
471-bagazsia,Hungarian,bagázsia ∆,,1644.0,,true
472-bago,Hungarian,bagó,,1836.0,loan,true
473-bagocs,Hungarian,bagócs ×,,1799.0,,true
474-bagohit,Hungarian,bagóhit ×,,1870.0,compound,true
475-bagoly,Hungarian,bagoly,,1211.0,unknown,true
476-bagzik,Hungarian,bagzik,,1283.0,,true
477-bagyad,Hungarian,bágyad,,1416.0,,true
478-bagyaszt,Hungarian,bágyaszt,,1508.0,onomatopoetic,true
479-baj,Hungarian,baj,,1138.0,Croatian or Serbian,true
480-bajnok,Hungarian,bajnok,,1215.0,Croatian or Serbian,true
481-bajonett,Hungarian,bajonett ∆,,1705.0,international word,true
482-bajor,Hungarian,bajor¹,,1213.0,loan,true
483-bajor,Hungarian,bajor² ×,,1585.0,uncertain,true
484-bajos,Hungarian,bájos,,1387.0,,true
